LdotV,L_up,L_right,ShadowSmooth,ShadowLocation,ExposureScale,VcamX,VcamY,VcamZ,note
0.92,-0.00,0.00,0.00,-0.50,1.20,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=0
0.69,-0.41,0.00,0.49,-0.28,1.06,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=10
0.34,-0.74,0.00,0.64,-0.15,0.96,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=20
-0.08,-0.95,0.00,0.69,-0.03,0.88,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=30
-0.48,-0.99,-0.00,0.74,0.07,0.80,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=40
-0.79,-0.87,-0.00,0.78,0.12,0.72,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=50
-0.97,-0.59,-0.00,0.87,0.12,0.62,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=60
-0.98,-0.21,-0.00,0.98,0.12,0.52,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=70
-0.83,0.21,-0.00,0.98,0.14,0.52,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=80
-0.52,0.59,-0.00,0.88,0.25,0.62,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=90
-0.13,0.87,-0.00,0.78,0.29,0.72,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=100
0.28,0.99,-0.00,0.72,0.29,0.80,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=110
0.65,0.95,0.00,0.65,0.28,0.87,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=120
0.90,0.74,0.00,0.49,0.22,0.93,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=130
1.00,0.41,0.00,0.16,-0.11,0.98,0.0000,0.9247,0.3807,Z-0-均匀24度 frame=140
0.80,-0.00,0.50,0.20,0.00,1.50,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=0
0.58,-0.41,0.46,0.41,-0.07,1.10,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=10
0.25,-0.74,0.33,0.57,-0.06,0.96,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=20
-0.11,-0.95,0.15,0.76,0.03,0.87,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=30
-0.46,-0.99,-0.05,0.91,0.14,0.81,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=40
-0.73,-0.87,-0.25,1.00,0.20,0.76,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=50
-0.87,-0.59,-0.40,1.00,0.15,0.72,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=60
-0.86,-0.21,-0.49,1.00,0.03,0.70,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=70
-0.70,0.21,-0.49,1.00,0.01,0.71,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=80
-0.42,0.59,-0.40,0.98,0.05,0.75,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=90
-0.07,0.87,-0.25,0.96,0.12,0.83,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=100
0.29,0.99,-0.05,0.93,0.18,0.93,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=110
0.61,0.95,0.15,0.89,0.19,1.02,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=120
0.82,0.74,0.33,0.84,0.04,1.14,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=130
0.89,0.41,0.46,0.67,-0.50,1.28,0.0000,0.9247,0.3807,Z-60-均匀24度 frame=140
0.37,0.97,0.26,0.80,-0.04,1.20,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=0
0.27,0.97,0.24,0.53,0.06,0.88,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=10
0.19,0.97,0.17,0.37,0.13,0.68,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=20
0.14,0.97,0.08,0.30,0.16,0.60,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=30
0.13,0.97,-0.03,0.33,0.16,0.61,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=40
0.16,0.97,-0.13,0.41,0.17,0.65,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=50
0.23,0.97,-0.21,0.51,0.17,0.70,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=60
0.32,0.97,-0.25,0.57,0.17,0.77,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=70
0.42,0.97,-0.25,0.57,0.16,0.84,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=80
0.51,0.97,-0.21,0.49,0.10,0.95,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=90
0.58,0.97,-0.13,0.38,0.01,1.07,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=100
0.61,0.97,-0.03,0.28,-0.07,1.17,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=110
0.60,0.97,0.08,0.25,-0.10,1.20,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=120
0.55,0.97,0.17,0.25,-0.07,1.15,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=130
0.47,0.97,0.24,0.22,-0.02,1.02,0.0000,0.9247,0.3807,正面-+75度-均匀24度 frame=140
-0.00,-0.00,1.00,0.30,-0.33,0.50,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=0
-0.38,-0.00,0.91,0.92,0.05,0.37,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=10
-0.69,-0.00,0.67,0.98,0.08,0.36,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=20
-0.88,-0.00,0.31,0.85,-0.05,0.40,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=30
-0.92,-0.00,-0.10,0.67,-0.18,0.40,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=40
-0.80,-0.00,-0.50,0.49,-0.26,0.40,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=50
-0.54,-0.00,-0.81,0.33,-0.24,0.44,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=60
-0.19,-0.00,-0.98,0.23,-0.19,0.56,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=70
0.19,-0.00,-0.98,0.19,-0.16,0.63,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=80
0.54,-0.00,-0.81,0.17,-0.13,0.69,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=90
0.80,-0.00,-0.50,0.14,-0.10,0.75,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=100
